ID,ra,dec,sel,imag,kmag,zspec,Qf,Q,Remarks,fits1d,ascii1d,jpg1d,fits2d
L456966,150.186615,1.992003,512,23.57,21.46,1.2450,4,2.0,"[OII],H+K","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-15B.013.chandra_849.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.COS-15B.013.chandra_849.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.COS-15B.013.chandra_849.jpg"">1D preview</a>",null
L715744,150.186625,2.381778,32,21.46,19.99,0.5970,4,2.0,"[OII],H+K,G,[OIII]","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.c-b-30C.027.Herschel_1110.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.c-b-30C.027.Herschel_1110.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.c-b-30C.027.Herschel_1110.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.c-b-30C.027.Herschel_1110.fits"">2D Fits spectrum</a>"
L711843,150.186844,2.379111,256,24.33,23.77,3.9800,1,1.5,null,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-39.029.Gd-1233433_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.COS-39.029.Gd-1233433_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.COS-39.029.Gd-1233433_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.COS-39.029.Gd-1233433.fits"">2D Fits spectrum</a>"
L741913,150.186844,2.423750,2,22.35,20.30,null,0,0.0,null,null,null,null,null
L819228,150.186940,2.542167,128,23.45,21.41,1.0870,3,2.0,[OIII]d,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.m14bc.041.MIPS_17354.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.m14bc.041.MIPS_17354.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.m14bc.041.MIPS_17354.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.m14bc.041.MIPS_17354.fits"">2D Fits spectrum</a>"
C1241519,150.187125,2.323167,2,26.65,24.85,null,0,0.0,null,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.f_cos1.014.1241519.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.f_cos1.014.1241519.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.f_cos1.014.1241519.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.f_cos1.014.1241519.fits"">2D Fits spectrum</a>"
C1240959,150.187195,2.325147,256,25.47,null,null,0,0.0,null,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-35.108.Vd-1240959_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.COS-35.108.Vd-1240959_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.COS-35.108.Vd-1240959_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.COS-35.108.Vd-1240959.fits"">2D Fits spectrum</a>"
C1000961,150.187210,2.244445,128,26.45,null,null,0,0.0,null,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-31.075.JK_24_29550_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.COS-31.075.JK_24_29550_acal.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.COS-31.075.JK_24_29550_acal.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.COS-31.075.JK_24_29550.fits"">2D Fits spectrum</a>"
L735565,150.187292,2.414306,2,21.91,21.06,0.8510,4,2.0,"[OII]d,Hg,Hb,[OIII]d","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.c-b0B.045.XCL186-1228325.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.c-b0B.045.XCL186-1228325.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.c-b0B.045.XCL186-1228325.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.c-b0B.045.XCL186-1228325.fits"">2D Fits spectrum</a>"
L355113,150.187347,1.827333,2,21.16,19.89,0.0000,4,2.0,star,null,null,null,null
